,efficiency,quality,end_time,start_time,time_offset,update_time,create_time,sleep_duration_in_hour,Date,week_day,year_month,sleep_start_hour,sleep_wakeup_hour,next_start_time,next_end_time,delta
61,95.9799,50003.0,2018-02-26 05:53:00.000,2018-02-25 23:16:00.000,UTC-0500,2018-02-26 07:36:56.131,2018-02-26 05:54:38.160,6.616666666666666,2018-02-25,Sunday,2018-02,23,5,2018-02-26 21:50:00.000,2018-02-27 07:02:00.000,15.95
45,94.57505,50004.0,2018-02-27 07:02:00.000,2018-02-26 21:50:00.000,UTC-0500,2018-02-27 07:32:09.493,2018-02-27 07:03:34.825,9.2,2018-02-26,Monday,2018-02,21,7,2018-02-27 22:17:00.000,2018-02-28 04:44:00.000,15.25
395,93.5567,,2018-02-28 04:44:00.000,2018-02-27 22:17:00.000,UTC-0500,2018-02-28 04:46:27.741,2018-02-28 04:46:27.741,6.45,2018-02-27,Tuesday,2018-02,22,4,2018-02-28 22:19:00.000,2018-03-01 05:15:00.000,17.583333333333332
340,94.230774,,2018-03-01 05:15:00.000,2018-02-28 22:19:00.000,UTC-0500,2018-03-01 05:15:46.956,2018-03-01 05:15:46.956,6.933333333333334,2018-02-28,Wednesday,2018-02,22,5,2018-03-01 22:09:00.000,2018-03-02 06:00:00.000,16.9
306,93.84289,50003.0,2018-03-02 06:00:00.000,2018-03-01 22:09:00.000,UTC-0500,2018-03-02 06:26:17.171,2018-03-02 06:00:57.857,7.85,2018-03-01,Thursday,2018-03,22,6,2018-03-02 22:55:00.000,2018-03-03 05:19:00.000,16.916666666666668
98,96.36363,50003.0,2018-03-03 05:19:00.000,2018-03-02 22:55:00.000,UTC-0500,2018-03-03 05:40:27.836,2018-03-03 05:20:10.002,6.4,2018-03-02,Friday,2018-03,22,5,2018-03-03 22:57:00.000,2018-03-04 06:26:00.000,17.633333333333333
224,93.11111,50003.0,2018-03-04 06:26:00.000,2018-03-03 22:57:00.000,UTC-0500,2018-03-04 06:45:45.843,2018-03-04 06:27:23.747,7.483333333333333,2018-03-03,Saturday,2018-03,22,6,2018-03-05 22:51:00.000,2018-03-06 06:20:00.000,16.416666666666668
421,94.654785,,2018-03-06 06:20:00.000,2018-03-05 22:51:00.000,UTC-0500,2018-03-06 06:20:04.267,2018-03-06 06:20:04.267,7.483333333333333,2018-03-05,Monday,2018-03,22,6,2018-03-06 21:46:00.000,2018-03-07 06:52:00.000,15.433333333333334
308,92.50457,50004.0,2018-03-07 06:52:00.000,2018-03-06 21:46:00.000,UTC-0500,2018-03-07 08:11:33.734,2018-03-07 07:07:12.323,9.1,2018-03-06,Tuesday,2018-03,21,6,2018-03-07 22:23:00.000,2018-03-08 04:30:00.000,15.516666666666667
4,92.66304,50003.0,2018-03-08 04:30:00.000,2018-03-07 22:23:00.000,UTC-0500,2018-03-08 08:39:58.387,2018-03-08 04:32:02.181,6.116666666666666,2018-03-07,Wednesday,2018-03,22,4,2018-03-08 22:26:00.000,2018-03-09 06:42:00.000,17.933333333333334
