,start_time,end_time,floor,time_offset,Duration_in_min,Date,climb_time_hour
186,2018-03-28 09:10:05,2018-03-28 09:10:31,1.0,UTC-0400,0.43333333333333335,2018-03-28,13
187,2018-02-19 19:05:23,2018-02-19 19:06:53,9.0,UTC-0500,1.5,2018-02-20,0
188,2018-08-23 17:18:41,2018-08-23 17:19:07,1.0,UTC+0200,0.43333333333333335,2018-08-23,15
189,2018-06-06 16:25:07,2018-06-06 16:25:52,2.0,UTC-0400,0.75,2018-06-06,20
190,2018-02-13 07:47:39,2018-02-13 07:47:57,1.0,UTC-0500,0.3,2018-02-13,12
191,2018-11-01 09:12:35,2018-11-01 09:12:50,1.0,UTC-0400,0.25,2018-11-01,13
192,2018-11-21 09:12:52,2018-11-21 09:13:22,1.0,UTC-0500,0.5,2018-11-21,14
193,2018-08-01 07:53:42,2018-08-01 07:53:57,1.0,UTC-0400,0.25,2018-08-01,11
194,2018-03-07 17:22:12,2018-03-07 17:22:36,3.0,UTC-0500,0.4,2018-03-07,22
195,2018-08-19 00:06:22,2018-08-19 00:07:13,3.0,UTC-0400,0.85,2018-08-19,4
196,2018-02-05 20:13:26,2018-02-05 20:16:00,11.0,UTC-0500,2.566666666666667,2018-02-06,1
197,2018-04-24 07:34:31,2018-04-24 07:36:51,9.0,UTC-0400,2.3333333333333335,2018-04-24,11
198,2018-06-22 20:04:24,2018-06-22 20:04:53,1.0,UTC-0400,0.48333333333333334,2018-06-23,0
199,2017-12-22 15:58:40,2017-12-22 15:58:50,1.0,UTC-0800,0.16666666666666666,2017-12-22,23
200,2018-02-07 17:16:25,2018-02-07 17:17:59,3.0,UTC-0500,1.5666666666666667,2018-02-07,22
201,2018-04-13 17:16:04,2018-04-13 17:18:03,7.0,UTC-0400,1.9833333333333334,2018-04-13,21
202,2018-09-12 17:07:28,2018-09-12 17:08:22,3.0,UTC-0400,0.9,2018-09-12,21
203,2018-12-28 14:30:56,2018-12-28 14:31:04,1.0,UTC-0500,0.13333333333333333,2018-12-28,19
204,2018-08-26 17:50:00,2018-08-26 17:51:04,2.0,UTC+0200,1.0666666666666667,2018-08-26,15
205,2018-04-02 15:50:38,2018-04-02 15:51:23,2.0,UTC-0400,0.75,2018-04-02,19
206,2018-04-04 07:52:43,2018-04-04 07:54:03,4.0,UTC-0400,1.3333333333333333,2018-04-04,11
207,2018-08-17 12:35:42,2018-08-17 12:36:00,1.0,UTC-0400,0.3,2018-08-17,16
208,2019-01-02 12:07:37,2019-01-02 12:10:06,9.0,UTC-0500,2.4833333333333334,2019-01-02,17
209,2018-01-08 10:01:22,2018-01-08 10:02:50,6.0,UTC-0500,1.4666666666666666,2018-01-08,15
210,2018-09-02 07:39:18,2018-09-02 07:40:04,2.0,UTC-0400,0.7666666666666667,2018-09-02,11
211,2017-12-25 11:15:46,2017-12-25 11:16:31,2.0,UTC-0800,0.75,2017-12-25,19
212,2018-12-18 17:46:31,2018-12-18 17:46:55,1.0,UTC-0500,0.4,2018-12-18,22
213,2018-02-28 18:05:42,2018-02-28 18:06:08,1.0,UTC-0500,0.43333333333333335,2018-02-28,23
214,2018-03-16 20:00:09,2018-03-16 20:00:33,1.0,UTC-0400,0.4,2018-03-17,0
215,2018-10-15 18:38:17,2018-10-15 18:39:01,2.0,UTC-0400,0.7333333333333333,2018-10-15,22
216,2018-05-31 08:52:01,2018-05-31 08:52:16,1.0,UTC-0400,0.25,2018-05-31,12
217,2018-09-10 18:07:51,2018-09-10 18:07:59,1.0,UTC-0400,0.13333333333333333,2018-09-10,22
218,2018-11-21 20:10:33,2018-11-21 20:10:52,1.0,UTC-0500,0.31666666666666665,2018-11-22,1
219,2018-05-04 18:11:20,2018-05-04 18:11:31,1.0,UTC-0400,0.18333333333333332,2018-05-04,22
220,2018-04-30 19:29:07,2018-04-30 19:29:33,1.0,UTC-0400,0.43333333333333335,2018-04-30,23
221,2018-02-12 08:42:05,2018-02-12 08:42:18,1.0,UTC-0500,0.21666666666666667,2018-02-12,13
222,2018-08-21 16:30:10,2018-08-21 16:30:37,1.0,UTC+0200,0.45,2018-08-21,14
