,Date,walk_time_hour,count,calorie,distance,Duration_in_min
185,2018-12-11,15,414,17.71,306.268,6.883333333333333
186,2018-12-11,17,258,11.0599995,197.58,5.933333333333334
187,2018-12-11,18,224,9.05,148.5,3.933333333333333
188,2018-12-11,19,205,8.551,145.433,2.9499999999999997
189,2018-12-11,20,876,41.1,663.787,15.733333333333327
190,2018-12-11,21,2768,164.42000000000002,2337.257,46.21666666666669
191,2018-12-11,22,334,16.479999999999997,266.05499999999995,7.883333333333333
192,2018-12-11,23,215,10.48,175.85000399999998,9.933333333333332
193,2018-12-12,0,45,2.35,37.64,2.9833333333333334
194,2018-12-12,1,221,10.28,163.95,7.866666666666666
195,2018-12-12,2,242,10.1,163.46,4.916666666666666
196,2018-12-12,3,24,0.94,14.27,0.9833333333333333
197,2018-12-12,8,69,2.88,48.81,3.933333333333333
198,2018-12-12,10,19,0.87,16.08,0.9833333333333333
199,2018-12-12,13,15,0.62000006,12.31,1.0
200,2018-12-12,15,52,2.14,38.641,1.9666666666666666
201,2018-12-12,16,157,6.82,120.8,5.8999999999999995
202,2018-12-12,17,290,12.46,208.89,12.78333333333333
203,2018-12-12,18,133,5.86,97.97999999999999,3.933333333333333
204,2018-12-12,19,50,2.07,34.949999999999996,1.9666666666666666
205,2018-12-12,20,102,4.3,76.419,4.916666666666666
206,2018-12-12,21,1327,62.58,977.1859999999999,34.41666666666668
207,2018-12-12,22,887,38.17,657.528,17.699999999999996
208,2018-12-12,23,85,3.43,57.81,3.95
209,2018-12-13,0,61,2.6399999999999997,46.510000000000005,1.9666666666666666
210,2018-12-13,1,29,1.26999996,21.9400003,2.0
211,2018-12-13,2,37,1.6099999999999999,28.490000000000002,1.9666666666666666
212,2018-12-13,6,35,1.51,24.73,1.9666666666666666
213,2018-12-13,10,36,1.65,30.950000000000003,1.9666666666666666
214,2018-12-13,11,102,4.16000007,68.600002,5.916666666666667
215,2018-12-13,12,551,23.520000000000003,399.34000000000003,13.799999999999997
216,2018-12-13,13,39,2.08,36.560002000000004,4.0
217,2018-12-13,14,320,13.72,237.04999999999998,6.883333333333333
218,2018-12-13,16,279,12.839999999999996,218.46000000000004,7.883333333333334
219,2018-12-13,17,101,4.41,76.26,4.916666666666666
220,2018-12-13,18,217,9.379999999999999,165.20000000000002,4.916666666666666
221,2018-12-13,19,192,7.970000000000001,134.42000000000002,4.916666666666666
222,2018-12-13,20,296,13.11000001,237.30000099999998,11.866666666666664
223,2018-12-13,21,61,3.01000013,51.649999,4.0
224,2018-12-13,22,226,10.81,180.14999999999998,7.95
225,2018-12-13,23,137,5.82,102.96000000000001,5.8999999999999995
226,2018-12-14,0,71,3.01,49.330000000000005,3.933333333333333
227,2018-12-14,1,330,14.16,241.10999999999999,9.833333333333332
228,2018-12-14,4,22,0.93,15.14,0.9833333333333333
229,2018-12-14,5,19,0.88,16.48,0.9833333333333333
230,2018-12-14,10,45,1.8900000000000001,32.71,1.9666666666666666
231,2018-12-14,11,20,0.88,15.41,0.9833333333333333
232,2018-12-14,12,199,8.74,152.37,4.916666666666666
233,2018-12-14,13,50,2.5,40.89,3.9833333333333334
234,2018-12-14,14,52,2.46,40.26,1.9833333333333334
235,2018-12-14,15,177,7.61,131.489,4.916666666666666
236,2018-12-14,16,130,5.59,96.82,3.933333333333333
237,2018-12-14,17,62,2.65,46.099999999999994,2.9499999999999997
238,2018-12-14,19,351,15.16,264.14,5.8999999999999995
239,2018-12-14,21,516,21.42,363.27,9.833333333333332
240,2018-12-14,22,92,3.87000001,72.54000099999999,6.983333333333333
241,2018-12-14,23,176,7.820000039999999,130.84,5.916666666666667
242,2018-12-15,0,57,2.4299999999999997,42.45,2.9499999999999997
243,2018-12-15,1,221,9.46,161.07,5.8999999999999995
244,2018-12-15,2,73,3.1199999999999997,56.81,3.966666666666667
245,2018-12-15,5,31,1.24,21.36,1.9666666666666666
246,2018-12-15,10,81,3.6999997999999996,67.759995,2.966666666666667
247,2018-12-15,13,51,2.16,37.260001,2.966666666666667
248,2018-12-15,15,282,12.000000000000002,204.43,9.833333333333332
249,2018-12-15,16,735,34.609999999999985,568.4300000000001,19.666666666666664
250,2018-12-15,17,1047,48.71,783.161,29.500000000000007
251,2018-12-15,18,88,3.61,62.59,2.9499999999999997
252,2018-12-15,20,16,0.65,10.99,0.9833333333333333
253,2018-12-15,21,73,3.17,55.149,3.933333333333333
254,2018-12-15,22,199,8.4,138.9,5.8999999999999995
255,2018-12-15,23,96,4.31,77.22,2.9499999999999997
256,2018-12-16,0,165,7.159999999999999,123.95999999999998,6.883333333333333
257,2018-12-16,1,383,16.76,280.51,7.866666666666666
258,2018-12-16,2,43,1.78,29.07,0.9833333333333333
259,2018-12-16,5,34,1.44,23.65,1.9666666666666666
260,2018-12-16,12,119,4.79,78.75,4.916666666666666
261,2018-12-16,13,270,11.510000000000002,197.89,9.833333333333332
262,2018-12-16,14,233,10.059999950000002,175.65000000000003,7.883333333333333
263,2018-12-16,15,636,31.0,527.2099999999999,15.866666666666667
264,2018-12-16,16,446,22.159998249999997,391.620009,11.966666666666665
265,2018-12-16,17,126,5.24,88.58,5.8999999999999995
266,2018-12-16,18,19,0.86,16.47,0.9833333333333333
267,2018-12-16,19,90,3.95,68.03,2.9499999999999997
268,2018-12-16,20,60,2.43,41.43,2.9499999999999997
269,2018-12-16,21,242,10.120000000000001,177.34900000000002,7.866666666666666
270,2018-12-16,22,126,5.33,92.44999999999999,5.8999999999999995
271,2018-12-17,0,180,7.47999998,125.56,7.883333333333334
272,2018-12-17,2,177,7.790000000000001,135.32,4.916666666666666
273,2018-12-17,11,165,6.93,116.53,5.933333333333334
